"Setting", "Description", "Units", "Default Value"
":ref:`cond_heating`"," "," "," "
":ref:`cond_h_setpoint`"," "," "," "
":ref:`cond_h_schedule`"," "," "," "
":ref:`cond_h_limit_type`"," "," "," "
":ref:`cond_h_max_cap`"," "," "," "
":ref:`cond_h_max_cap`"," "," "," "
":ref:`cond_h_max_flow`"," "," "," "
":ref:`cond_h_cop`"," "," "," "
":ref:`cond_c_setpoint`"," "," "," "
":ref:`cond_c_schedule`"," "," "," "
":ref:`cond_c_limit_type`"," "," "," "
":ref:`cond_c_max_cap`"," "," "," "
":ref:`cond_c_max_flow`"," "," "," "
":ref:`cond_c_cop`"," "," "," "
":ref:`cond_mech_vent`"," "," "," "
":ref:`cond_mv_schedule`"," "," "," "
":ref:`cond_min_freshair_area`"," ","m3/s-m2","0.0003"
":ref:`cond_min_freshair_pers`"," ","m3/s-person","0.0025"
":ref:`cond_econ_type`"," "," ","NoEconomizer"
":ref:`cond_hr_type`"," "," ","None"
":ref:`cond_hr_eff_latent`"," "," ","0.65"
":ref:`cond_hr_eff_sensible`"," "," ","0.70"
